price,timestamp
46.28875,2023-02-25 05:00:00+00
46.28875,2023-02-26 05:00:00+00
43.25160,2023-02-28 05:00:00+00
42.69490,2023-03-01 05:00:00+00
44.17690,2023-03-02 05:00:00+00
44.04770,2023-03-03 05:00:00+00
42.82315,2023-03-06 05:00:00+00
42.61795,2023-03-04 05:00:00+00
42.61795,2023-03-05 05:00:00+00
41.47225,2023-03-07 05:00:00+00
42.64265,2023-03-08 05:00:00+00
39.98265,2023-03-09 05:00:00+00
42.80035,2023-03-10 05:00:00+00
51.10620,2023-03-13 05:00:00+00
51.8890,2023-03-11 05:00:00+00
51.8890,2023-03-12 05:00:00+00
46.62505,2023-03-14 05:00:00+00
43.49385,2023-03-15 05:00:00+00
41.0875,2023-03-16 05:00:00+00
42.23415,2023-03-17 05:00:00+00
39.94655,2023-03-20 05:00:00+00
39.80405,2023-03-18 05:00:00+00
39.80405,2023-03-19 05:00:00+00
36.84480,2023-03-21 05:00:00+00
39.00605,2023-03-22 05:00:00+00
37.63235,2023-03-23 05:00:00+00
40.75690,2023-03-24 05:00:00+00
38.90535,2023-03-27 04:00:00+00
38.50160,2023-03-25 05:00:00+00
38.50160,2023-03-26 04:00:00+00
40.53745,2023-03-28 04:00:00+00
40.1375,2023-03-29 04:00:00+00
39.56845,2023-03-30 04:00:00+00
40.29615,2023-03-31 04:00:00+00
48.85090,2023-04-04 04:00:00+00
44.15220,2023-04-05 04:00:00+00
43.27060,2023-04-06 04:00:00+00
41.06090,2023-04-11 04:00:00+00
41.14070,2023-04-07 04:00:00+00
41.14070,2023-04-08 04:00:00+00
41.14070,2023-04-09 04:00:00+00
41.14070,2023-04-10 04:00:00+00
41.52830,2023-04-12 04:00:00+00
42.35765,2023-04-13 04:00:00+00
40.85190,2023-04-14 04:00:00+00
38.65265,2023-04-17 04:00:00+00
38.67260,2023-04-15 04:00:00+00
38.67260,2023-04-16 04:00:00+00
39.0070,2023-04-18 04:00:00+00
39.77745,2023-04-19 04:00:00+00
36.93220,2023-04-20 04:00:00+00
37.00440,2023-04-21 04:00:00+00
36.75930,2023-04-24 04:00:00+00
36.68425,2023-04-22 04:00:00+00
36.68425,2023-04-23 04:00:00+00
48.85090,2023-04-04 04:00:00+00
44.15220,2023-04-05 04:00:00+00
35.91285,2023-04-25 04:00:00+00
35.99170,2023-04-26 04:00:00+00
34.5990,2023-04-27 04:00:00+00
